         6673132 function calls (6671433 primitive calls) in 16.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.011    0.011 _internal.py:6(<module>)
     8052    0.003    0.000    0.003    0.000 {numpy.core._multiarray_umath.normalize_axis_index}
      455    0.003    0.000    0.011    0.000 blas.py:297(_get_funcs)
        1    0.003    0.003    0.029    0.029 lapack.py:544(<module>)
        1    0.003    0.003    0.003    0.003 basic.py:5(<module>)
        1    0.003    0.003    0.005    0.005 numerictypes.py:81(<module>)
        1    0.003    0.003    0.003    0.003 matfuncs.py:5(<module>)
    21912    0.003    0.000    0.003    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.003    0.003    0.003    0.003 case.py:1(<module>)
        1    0.003    0.003    0.007    0.007 defmatrix.py:1(<module>)
        1    0.002    0.002    0.010    0.010 tempfile.py:18(<module>)
        1    0.002    0.002    0.003    0.003 linalg.py:10(<module>)
      172    0.002    0.000    0.007    0.000 compressed.py:133(check_format)
      750    0.002    0.000    0.008    0.000 numeric.py:1620(moveaxis)
        1    0.002    0.002    0.005    0.005 util.py:35(<module>)
        1    0.002    0.002    0.033    0.033 chebfcns.py:1(<module>)
        1    0.002    0.002    0.003    0.003 lil.py:2(<module>)
        1    0.002    0.002    0.002    0.002 compressed.py:1(<module>)
        1    0.002    0.002    0.014    0.014 inspect.py:25(<module>)
       25    0.002    0.000    0.002    0.000 ExForces.py:69(breakCLs)
        1    0.002    0.002    0.002    0.002 _interfaces.py:12(<module>)
      688    0.002    0.000    0.003    0.000 sputils.py:266(check_shape)
     1576    0.002    0.000    0.002    0.000 {abs}
        1    0.002    0.002    0.003    0.003 base.py:1(<module>)
        3    0.002    0.001    0.002    0.001 {method 'close' of 'file' objects}
   489/42    0.002    0.000    0.005    0.000 sre_compile.py:64(_compile)
        1    0.002    0.002    0.003    0.003 subprocess.py:31(<module>)
  344/172    0.002    0.000    0.056    0.000 coo.py:126(__init__)
        1    0.002    0.002    0.033    0.033 misc.py:1(<module>)
      118    0.002    0.000    0.005    0.000 EwaldStuff.py:233(RPYNear)
        1    0.002    0.002    0.002    0.002 shutil.py:5(<module>)
        1    0.002    0.002    0.002    0.002 blas.py:202(<module>)
        1    0.002    0.002    0.002    0.002 result.py:1(<module>)
     5802    0.002    0.000    0.002    0.000 fftpack.py:104(_unitary)
        1    0.002    0.002    0.002    0.002 __init__.py:10(<module>)
        1    0.002    0.002    0.002    0.002 heapq.py:31(<module>)
        2    0.002    0.001    0.002    0.001 function_base.py:1(<module>)
        1    0.002    0.002    0.002    0.002 polynomial.py:57(<module>)
     5800    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     1110    0.002    0.000    0.013    0.000 fromnumeric.py:1966(sum)
      455    0.002    0.000    0.007    0.000 blas.py:236(find_best_blas_type)
